date,close,ma5,ma10,ma20,gt_ma,earning,earning2
2014-10-24,20.2,20.108,20.191,19.928,True,0.23,0.0
2014-10-23,20.12,19.996,20.218,19.896,True,0.63,0.0
2014-10-22,19.95,19.972,20.228,19.872,False,0.0,0.89
2014-10-21,20.23,20.146,20.248,19.846,True,0.58,0.0
2014-10-20,20.04,20.192,20.162,19.81,False,0.0,0.52
2014-10-17,19.64,20.274,20.091,19.811,False,0.0,0.56
2014-10-16,20.0,20.44,20.053,19.834,False,0.0,0.12
2014-10-15,20.82,20.484,20.006,19.812,True,-0.87,0.0
2014-10-14,20.46,20.35,19.884,19.756,True,-0.23,0.0
2014-10-13,20.45,20.132,19.782,19.715,True,-0.41,0.0
2014-10-10,20.47,19.908,19.665,19.666,True,-0.83,0.0
2014-10-09,20.22,19.666,19.573,19.645,True,-0.22,0.0
2014-10-08,20.15,19.528,19.516,19.657,True,0.67,0.0
2014-09-30,19.37,19.418,19.443,19.674,False,0.0,1.09
2014-09-29,19.33,19.432,19.457,19.703,False,0.0,1.12
2014-09-26,19.26,19.422,19.531,19.73,False,0.0,1.21
2014-09-25,19.53,19.48,19.614,19.757,True,0.69,0.0
2014-09-24,19.6,19.504,19.618,19.773,True,0.55,0.0
2014-09-23,19.44,19.468,19.628,19.773,False,0.0,-0.07
2014-09-22,19.28,19.482,19.648,19.776,False,0.0,0.05
2014-09-19,19.55,19.64,19.666,19.8,False,0.0,-0.29
2014-09-18,19.65,19.748,19.717,19.824,False,0.0,-0.12
2014-09-17,19.42,19.732,19.797,19.853,False,0.0,0.18
2014-09-16,19.51,19.788,19.904,19.889,False,0.0,-0.07
2014-09-15,20.07,19.814,19.948,19.949,True,-0.79,0.0
2014-09-12,20.09,19.692,19.929,19.984,True,-0.54,0.0
2014-09-11,19.57,19.686,19.9,19.999,False,0.0,0.08
2014-09-10,19.7,19.862,19.928,20.058,False,0.0,-0.28
2014-09-09,19.64,20.02,19.918,20.068,False,0.0,-0.13
2014-09-05,19.46,20.082,19.904,20.082,False,0.0,0.61
2014-09-04,20.06,20.166,19.933,20.084,False,0.0,0.03
2014-09-03,20.45,20.114,19.93,20.061,True,-0.88,0.0
2014-09-02,20.49,19.994,19.909,20.023,True,-0.79,0.0
2014-09-01,19.95,19.816,19.874,19.997,True,-0.31,0.0
2014-08-29,19.88,19.726,19.95,19.998,True,-0.42,0.0
2014-08-28,19.8,19.7,20.038,19.93,True,0.26,0.0
2014-08-27,19.85,19.746,20.098,19.859,True,0.6,0.0
2014-08-26,19.6,19.824,20.188,19.783,False,0.0,0.89
2014-08-25,19.5,19.932,20.218,19.722,False,0.0,0.45
2014-08-22,19.75,20.174,20.26,19.677,False,0.0,0.13
2014-08-21,20.03,20.376,20.235,19.6,False,0.0,-0.23
2014-08-20,20.24,20.45,20.192,19.497,False,0.0,-0.39
2014-08-19,20.14,20.552,20.137,19.375,False,0.0,-0.54
2014-08-18,20.71,20.504,20.119,19.258,True,-1.21,0.0
2014-08-15,20.76,20.346,20.046,19.106,True,-1.01,0.0
2014-08-14,20.4,20.094,19.822,18.938,True,-0.37,0.0
2014-08-13,20.75,19.934,19.62,18.778,True,-0.51,0.0
2014-07-15,19.9,19.722,19.377,18.62,True,0.24,0.0
2014-07-14,19.92,19.734,19.226,18.52,True,0.79,0.0
2014-07-11,19.5,19.746,19.094,18.425,False,0.0,1.26
2014-07-10,19.6,19.55,18.964,18.355,True,0.8,0.0
2014-07-09,19.69,19.306,18.802,18.279,True,1.06,0.0
2014-07-08,19.96,19.032,18.612,18.206,True,-0.06,0.0
2014-07-07,19.98,18.718,18.396,18.116,True,-0.06,0.0
2014-07-04,18.52,18.442,18.165,18.02,True,0.98,0.0
2014-07-03,18.38,18.378,18.054,17.997,True,1.22,0.0
2014-07-02,18.32,18.298,17.936,17.973,True,1.37,0.0
2014-07-01,18.39,18.192,17.862,17.932,True,1.57,0.0
2014-06-30,18.6,18.074,17.814,17.896,True,1.38,0.0
2014-06-27,18.2,17.888,17.755,17.851,True,0.32,0.0
2014-06-26,17.98,17.73,17.745,17.831,True,0.4,0.0
2014-06-25,17.79,17.574,17.755,17.82,True,0.53,0.0
2014-06-24,17.8,17.532,17.799,17.821,True,0.59,0.0
2014-06-23,17.67,17.554,17.835,17.821,True,0.93,0.0
2014-06-20,17.41,17.622,17.874,17.801,False,0.0,0.79
2014-06-19,17.2,17.76,17.939,17.778,False,0.0,0.78
2014-06-18,17.58,17.936,18.009,17.77,False,0.0,0.21
2014-06-17,17.91,18.066,18.001,17.727,False,0.0,-0.11
2014-06-16,18.01,18.116,17.978,17.656,False,0.0,-0.34
2014-06-13,18.1,18.126,17.947,17.583,False,0.0,-0.69
2014-06-12,18.08,18.118,17.917,17.499,False,0.0,-0.88
2014-06-11,18.23,18.082,17.885,17.443,True,-0.65,0.0
2014-06-10,18.16,17.936,17.843,17.366,True,-0.25,0.0
2014-06-09,18.06,17.84,17.807,17.282,True,-0.05,0.0
2014-06-06,18.06,17.768,17.727,17.204,True,0.04,0.0
2014-06-05,17.9,17.716,17.616,17.133,True,0.18,0.0
2014-06-04,17.5,17.688,17.53,17.064,False,0.0,0.73
2014-06-03,17.68,17.75,17.452,17.033,False,0.0,0.48
2014-05-30,17.7,17.774,17.334,16.991,False,0.0,0.36
2014-05-29,17.8,17.686,17.219,16.956,True,0.26,0.0
2014-05-28,17.76,17.516,17.08,16.906,True,0.14,0.0
2014-05-27,17.81,17.372,17.001,16.836,True,-0.31,0.0
2014-05-26,17.8,17.154,16.888,16.775,True,-0.12,0.0
2014-05-23,17.26,16.894,16.757,16.736,True,0.44,0.0
2014-05-22,16.95,16.752,16.681,16.749,True,0.85,0.0
2014-05-21,17.04,16.644,16.65,16.772,True,0.72,0.0
2014-05-20,16.72,16.63,16.598,16.8,True,1.09,0.0
2014-05-19,16.5,16.622,16.614,16.864,False,0.0,1.3
2014-05-16,16.55,16.62,16.648,16.915,False,0.0,0.71
2014-05-15,16.41,16.61,16.693,16.966,False,0.0,0.54
2014-05-14,16.97,16.656,16.731,17.017,True,0.07,0.0
2014-05-13,16.68,16.566,16.67,17.057,True,0.04,0.0
2014-05-12,16.49,16.606,16.662,17.1,False,0.0,0.01
2014-05-09,16.5,16.676,16.715,17.173,False,0.0,0.05
2014-05-08,16.64,16.776,16.817,17.255,False,0.0,-0.23
2014-05-07,16.52,16.806,16.893,17.311,False,0.0,0.45
2014-05-06,16.88,16.774,17.001,17.382,True,-0.2,0.0
2014-05-05,16.84,16.718,17.113,17.41,True,-0.35,0.0
2014-04-30,17.0,16.754,17.181,17.427,True,-0.5,0.0
2014-04-29,16.79,16.858,17.239,17.442,False,0.0,-0.15
